,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Sn,-0.04778065496644767,-0.0394301978386211,-0.23372315434067667,-0.3685124035316144,0.06629498684651043,-0.1044045327775674,-0.034896543917399714,0.2015290253343926,-0.09281202466207422,0.020745002398295215,0.15775707330053096,0.0970231292568413,-0.06516416255570177,0.28319859552914706,0.016717254141437606,0.02303706929680008,-0.13086977021123905,0.2537246182595939,-0.211236081692374,0.12451914627864323,0.1199977934619248,-0.30140386575913897,0.03956520104269123,-0.2647189231588293,-0.24826430968783333,-0.04861553981159682,0.21385628806312768,-0.12705105451289334,0.08923280903119261,-0.3463711822400641,-0.171843036244294,0.13471981424607918
锡,0.16058280691859486,0.27218054743390724,0.1583720917470613,0.036205452229072364,-0.03723616293490631,-0.0972729323849779,-0.0008643077397899527,-0.1351665064888573,-0.16053505690608882,0.2381038933023185,0.3474585587764519,-0.22566316018242885,-0.14617371301385898,0.24060621198100962,-0.03416215371615548,-0.025272693119802805,-0.07806275443624949,-0.21698269273610635,0.12557443569197768,0.1876360964550504,-0.24224451792613846,0.06451434977552088,-0.22211550235121796,-0.19968448278403786,-0.29304506581713047,-0.16539527102513188,-0.17007347370806264,-0.19800244320569071,0.058457725560820815,0.06824852124393357,-0.2364911457400197,0.08871027772354895
Fe,-0.3092304860915323,0.061776092531187085,-0.09683666585872211,-0.1804481413550346,0.06757429693541345,0.26287414539407283,0.04760904605619273,-0.009207231205378743,0.13019786428611654,0.09346006465607687,-0.040040127906070776,0.091999530027417,0.2057647390199248,-0.01819533408355858,0.10300714384322932,0.275697005064587,-0.26403631126333804,0.040877032921897136,-0.1506934348682501,-0.108770414266053,-0.29983680783477995,0.10658962253623366,0.161907113476187,-0.16113816604072853,-0.024602669319602147,-0.335558217519665,0.25730268322069755,-0.12560250065880899,0.18960106050262956,0.19807518357530668,-0.2670613531358441,0.12845262385559567
铁,-0.3885460711763624,0.010661371321650596,-0.1323501698551548,0.12423587130242737,-0.010826020651002594,-0.09314983712631585,-0.17534728063808241,-0.24810317958316178,0.03970328406564481,-0.11919135555840547,0.12460517008607006,0.217786888637572,-0.002029504812629082,0.004039857654504683,0.22682266839648008,0.26460623171722764,0.07834000294727865,0.00792141883913354,-0.2532605783179557,0.054496772932871675,-0.06160505760890271,0.33863515290976515,0.13532976049396028,-0.17702155318587137,0.133772483044438,-0.0874794670771946,0.07502464777579075,-0.052116993928295274,0.19133707995578003,-0.04508859705740127,-0.32216624140914557,0.31126882220759283
Cr,0.29028696226775647,0.1758642273787907,0.12742017574469236,-0.27542984779907465,0.07854193990816137,-0.05984899741243796,0.17348403169049675,0.3174125340126398,0.12551922100547536,0.1548784294921243,0.131284339175995,0.05604748043490409,0.12014088033241807,0.27107464843199663,0.0476055937001104,-0.10652795517504941,-0.07133476564629107,-0.13008843087617603,0.2152146658550503,0.12193066682689963,0.20646396889558732,0.09597056466241834,-0.023251861032459083,0.29648442348940934,-0.2301706214755816,-0.01828081760150811,-0.04241178414165127,-0.22644507054312685,0.09716418241647255,-0.3114991553290675,0.2213441635769481,0.07161247990686455
铬,0.2786331912949374,-0.010743025981233943,-0.09402979957795363,-0.059112106326107625,-0.2707677225925621,-0.13876502449093753,0.23747507514664382,0.2557539370284683,0.21833482742701352,-0.11387544372887173,-0.042733355252182435,0.11470019123734979,0.23260987415475395,0.02924422701692513,0.08854444257890542,-0.08401973924028924,-0.17908045363450736,-0.07131672348918194,0.32233641510397115,-0.14247361250567941,0.29352228145287484,0.21177299181365405,0.09230493989301067,0.18537766603059505,-0.19524665909802347,-0.06929010706481727,-0.16185653551335916,-0.15431661475623104,-0.15027989211006493,-0.2090934954332983,-0.1629927351108508,0.17031447016008433
Ni,-0.17417467672599904,-0.01078058812279875,0.2484460108836159,-0.16317528511958357,0.2834306650565972,-0.12600475894001548,-0.22865152440019493,0.24395924547323303,-0.2851885669761286,-0.0719466354918447,0.15764795508430277,-0.1404690394760379,0.2325853567028082,-0.009445123180277345,0.08659347464029893,0.24336565589131626,0.15279889318423676,-0.10452707471142597,-0.24738728668504856,-0.1884019633393248,0.19298284537093058,-0.026374618033125824,0.22085809512406354,-0.09419436867503378,0.10569823541179889,-0.26587701975939676,0.2094959204390021,0.09623153261067281,0.10238860225558556,-0.09211575435907766,0.1782628345430355,0.0941685069253975
镍,-0.29629098945515314,0.30232564968781866,0.1747864875761993,-0.15416798899126463,-0.1436361299424632,0.0038666220631014977,0.12215727067763478,-0.015023537197112092,0.16359711874929758,-0.09521809711128537,0.3855666028311529,0.06379476066707791,0.03809660843473565,-0.07362288705353956,-0.16861895326400902,-0.07566195266486675,0.3345495217143496,-0.20212861282910946,0.11979490636937025,-0.234555685659275,0.243347795526125,0.28237343808404797,0.06258124154979697,-0.09163915828190204,-0.1307996252541002,-0.04262241753309344,-0.016900963182741768,-0.01460416526066283,-0.13685832767594913,0.048652267411300736,-0.29395917830375007,0.027581610000389355
Ti-6Al-4V,-0.043393315609734286,-0.1368730287904731,-0.31776974670446034,0.1516972486006495,0.15351139343861908,0.26160471682422387,0.34541561665050446,-0.13097348922996202,-0.040756942270329305,0.1863312931322519,0.22241252283405755,-0.1408647077428051,-0.02083883666947072,0.026999588642708808,-0.2725452526836199,-0.10033682077773923,0.2025479797776271,-0.09164041773100289,-0.1873964770730439,0.14848459852403348,0.1435068573158389,0.31681672396356597,0.14447774497514915,-0.03686940720451165,-0.16081991272605173,-0.3002741804088891,0.14434273284201415,0.1080489052661095,-0.04438453885180636,0.1819038183638698,0.045888256513844074,0.015209083936967445
alpha_beta,0.10807678390139164,-0.3449097069221544,0.05743947350711472,0.31676276728844766,0.13708199056333986,0.08966722967169162,0.1413967449552266,0.11091335776431056,0.0017171001710649392,0.23415789501579437,-0.18948846052423976,-0.016362737424490997,0.26100396863310543,0.28893202360651504,-0.23393037205072134,-0.2852004712488397,-0.12246210238732205,0.11208653364547386,-0.14058845094037678,-0.1431763895254818,-0.09560335107009531,0.08488242415175411,-0.26725751038612505,0.1128201737095244,-0.0265331007890892,-0.1274630095731781,0.06561959209845597,-0.14771622997853737,-0.23350237942463675,-0.18734810405289978,0.16117997956842398,-0.030246025780962353
